month,total_transaction_rows,completed_transactions,returned_transactions,cancelled_transactions,pending_transactions,purchasing_customers,completed_revenue,avg_completed_transaction_value,completed_units_sold,completion_rate_pct,return_rate_pct,cancellation_rate_pct
2021-03-01,49230,30663.0,6204.0,6153.0,6210.0,27628,2681659.4,87.46,40650.0,62.29,12.6,12.5
2023-04-01,47825,29898.0,6056.0,6028.0,5843.0,27123,2686834.72,89.87,40944.0,62.52,12.66,12.6
2023-06-01,47215,29349.0,5982.0,6004.0,5880.0,26536,2730450.06,93.03,41872.0,62.16,12.67,12.72
2023-12-01,49708,31018.0,6267.0,6131.0,6292.0,27947,4212403.58,135.81,64372.0,62.4,12.61,12.33
2024-09-01,47613,29808.0,5830.0,5974.0,6001.0,26926,3180933.91,106.71,48471.0,62.6,12.24,12.55
2024-10-01,49293,30738.0,6278.0,6222.0,6055.0,27722,3043633.72,99.02,46915.0,62.36,12.74,12.62
2025-06-01,47868,29858.0,5997.0,5949.0,6064.0,27040,2756298.16,92.31,42332.0,62.38,12.53,12.43
2025-07-01,49502,31065.0,6043.0,6083.0,6311.0,27925,2691770.99,86.65,41137.0,62.76,12.21,12.29
2022-02-01,44701,27931.0,5593.0,5587.0,5590.0,25456,2279053.44,81.6,34912.0,62.48,12.51,12.5
2025-08-01,49407,30783.0,6199.0,6125.0,6300.0,27767,3174623.14,103.13,48212.0,62.3,12.55,12.4
2021-08-01,49227,30678.0,6124.0,6238.0,6187.0,27595,3169414.79,103.31,48391.0,62.32,12.44,12.67
2021-09-01,48190,30165.0,6006.0,5940.0,6079.0,27232,3181178.38,105.46,48877.0,62.6,12.46,12.33
2023-10-01,49180,30765.0,6151.0,6069.0,6195.0,27787,3053773.9,99.26,46927.0,62.56,12.51,12.34
2021-02-01,44384,27712.0,5634.0,5630.0,5408.0,25221,2248340.33,81.13,34617.0,62.44,12.69,12.68
2021-10-01,49777,31095.0,6225.0,6203.0,6254.0,27941,3081380.82,99.1,47126.0,62.47,12.51,12.46
2022-06-01,48096,30032.0,5999.0,6099.0,5966.0,27142,2802428.97,93.31,42770.0,62.44,12.47,12.68
2023-11-01,48169,30192.0,5973.0,6006.0,5998.0,27270,3837241.16,127.09,58938.0,62.68,12.4,12.47
