cohort_month,cohort_age_month,cohort_size,retained_customers,retention_rate_pct
2021-01-01,0,27860,27860,100.0
2021-01-01,1,27860,4738,17.01
2021-01-01,2,27860,5065,18.18
2021-01-01,3,27860,4967,17.83
2021-01-01,4,27860,5123,18.39
2021-01-01,5,27860,5069,18.19
2021-01-01,6,27860,5246,18.83
2021-01-01,7,27860,5101,18.31
2021-01-01,8,27860,5136,18.44
2021-01-01,9,27860,5226,18.76
2021-01-01,10,27860,5052,18.13
2021-01-01,11,27860,5175,18.58
2021-01-01,12,27860,5261,18.88
2021-01-01,13,27860,4894,17.57
2021-01-01,14,27860,5247,18.83
2021-01-01,15,27860,5154,18.5
2021-01-01,16,27860,5142,18.46
2021-01-01,17,27860,5091,18.27
2021-01-01,18,27860,5286,18.97
2021-01-01,19,27860,5185,18.61
2021-01-01,20,27860,4926,17.68
2021-01-01,21,27860,5144,18.46
2021-01-01,22,27860,5110,18.34
2021-01-01,23,27860,5189,18.63
2021-01-01,24,27860,5157,18.51
2021-01-01,25,27860,4782,17.16
2021-01-01,26,27860,5245,18.83
2021-01-01,27,27860,5077,18.22
2021-01-01,28,27860,5194,18.64
2021-01-01,29,27860,4984,17.89
2021-01-01,30,27860,5166,18.54
2021-01-01,31,27860,5151,18.49
2021-01-01,32,27860,4973,17.85
2021-01-01,33,27860,5196,18.65
2021-01-01,34,27860,5094,18.28
2021-01-01,35,27860,5171,18.56
2021-01-01,36,27860,5221,18.74
2021-01-01,37,27860,4889,17.55
2021-01-01,38,27860,5129,18.41
2021-01-01,39,27860,5002,17.95
2021-01-01,40,27860,5130,18.41
2021-01-01,41,27860,4986,17.9
2021-01-01,42,27860,5138,18.44
2021-01-01,43,27860,5305,19.04
2021-01-01,44,27860,5039,18.09
2021-01-01,45,27860,5159,18.52
2021-01-01,46,27860,5053,18.14
2021-01-01,47,27860,5338,19.16
2021-01-01,48,27860,5138,18.44
2021-01-01,49,27860,4720,16.94
2021-01-01,50,27860,5215,18.72
2021-01-01,51,27860,4912,17.63
2021-01-01,52,27860,5158,18.51
2021-01-01,53,27860,5074,18.21
2021-01-01,54,27860,5151,18.49
2021-01-01,55,27860,5230,18.77
2021-01-01,56,27860,4946,17.75
2021-01-01,57,27860,5288,18.98
2021-01-01,58,27860,5031,18.06
2021-01-01,59,27860,5132,18.42
2021-01-01,60,27860,5234,18.79
2021-01-01,61,27860,4618,16.58
2021-02-01,0,20483,20483,100.0
2021-02-01,1,20483,3632,17.73
2021-02-01,2,20483,3585,17.5
2021-02-01,3,20483,3771,18.41
2021-02-01,4,20483,3655,17.84
2021-02-01,5,20483,3663,17.88
2021-02-01,6,20483,3627,17.71
2021-02-01,7,20483,3600,17.58
2021-02-01,8,20483,3650,17.82
2021-02-01,9,20483,3628,17.71
2021-02-01,10,20483,3624,17.69
2021-02-01,11,20483,3722,18.17
2021-02-01,12,20483,3303,16.13
2021-02-01,13,20483,3663,17.88
2021-02-01,14,20483,3610,17.62
2021-02-01,15,20483,3745,18.28
2021-02-01,16,20483,3592,17.54
2021-02-01,17,20483,3647,17.81
2021-02-01,18,20483,3634,17.74
2021-02-01,19,20483,3551,17.34
2021-02-01,20,20483,3694,18.03
2021-02-01,21,20483,3711,18.12
2021-02-01,22,20483,3759,18.35
2021-02-01,23,20483,3734,18.23
2021-02-01,24,20483,3465,16.92
2021-02-01,25,20483,3691,18.02
2021-02-01,26,20483,3712,18.12
2021-02-01,27,20483,3666,17.9
2021-02-01,28,20483,3535,17.26
2021-02-01,29,20483,3702,18.07
2021-02-01,30,20483,3732,18.22
2021-02-01,31,20483,3549,17.33
2021-02-01,32,20483,3725,18.19
2021-02-01,33,20483,3615,17.65
2021-02-01,34,20483,3874,18.91
2021-02-01,35,20483,3719,18.16
2021-02-01,36,20483,3502,17.1
2021-02-01,37,20483,3608,17.61
2021-02-01,38,20483,3552,17.34
2021-02-01,39,20483,3728,18.2
2021-02-01,40,20483,3525,17.21
2021-02-01,41,20483,3693,18.03
2021-02-01,42,20483,3654,17.84
2021-02-01,43,20483,3596,17.56
2021-02-01,44,20483,3673,17.93
2021-02-01,45,20483,3616,17.65
2021-02-01,46,20483,3781,18.46
2021-02-01,47,20483,3727,18.2
2021-02-01,48,20483,3292,16.07
2021-02-01,49,20483,3627,17.71
2021-02-01,50,20483,3566,17.41
2021-02-01,51,20483,3689,18.01
2021-02-01,52,20483,3589,17.52
2021-02-01,53,20483,3715,18.14
2021-02-01,54,20483,3683,17.98
2021-02-01,55,20483,3563,17.39
2021-02-01,56,20483,3680,17.97
2021-02-01,57,20483,3562,17.39
2021-02-01,58,20483,3783,18.47
2021-02-01,59,20483,3692,18.02
2021-02-01,60,20483,3277,16.0
2021-03-01,0,18931,18931,100.0
2021-03-01,1,18931,3254,17.19
2021-03-01,2,18931,3347,17.68
2021-03-01,3,18931,3222,17.02
2021-03-01,4,18931,3314,17.51
2021-03-01,5,18931,3315,17.51
2021-03-01,6,18931,3271,17.28
2021-03-01,7,18931,3324,17.56
2021-03-01,8,18931,3224,17.03
2021-03-01,9,18931,3217,16.99
2021-03-01,10,18931,3301,17.44
2021-03-01,11,18931,2998,15.84
2021-03-01,12,18931,3195,16.88
2021-03-01,13,18931,3138,16.58
2021-03-01,14,18931,3358,17.74
2021-03-01,15,18931,3167,16.73
2021-03-01,16,18931,3312,17.5
2021-03-01,17,18931,3247,17.15
