segment,recommendation_model,impressions,clicks,purchases,ctr_pct,cvr_after_click_pct,purchase_rate_per_impression_pct,recommendation_revenue,revenue_per_impression
Discount Hunter,personalized,31394,5850.0,564.0,18.63,9.64,1.8,38636.29,1.2307
Casual Buyer,sport_based,41766,6814.0,590.0,16.31,8.66,1.41,40789.17,0.9766
Casual Buyer,loyalty_based,25322,3542.0,234.0,13.99,6.61,0.92,15675.9,0.6191
One-Time Buyer,sport_based,10757,1736.0,130.0,16.14,7.49,1.21,9682.67,0.9001
Discount Hunter,generic,22141,1982.0,85.0,8.95,4.29,0.38,5663.89,0.2558
One-Time Buyer,loyalty_based,6282,883.0,72.0,14.06,8.15,1.15,5876.27,0.9354
UA Rewards Elite,sport_based,11899,2153.0,183.0,18.09,8.5,1.54,11975.98,1.0065
UA Rewards Member,loyalty_based,19831,3259.0,221.0,16.43,6.78,1.11,15803.68,0.7969
Performance Athlete,personalized,41354,7860.0,758.0,19.01,9.64,1.83,50897.43,1.2308
Performance Athlete,generic,29955,2766.0,93.0,9.23,3.36,0.31,6599.48,0.2203
UA Rewards Member,sport_based,33369,5910.0,489.0,17.71,8.27,1.47,32668.59,0.979
UA Rewards Elite,loyalty_based,7152,1162.0,71.0,16.25,6.11,0.99,5119.57,0.7158
One-Time Buyer,generic,10530,978.0,35.0,9.29,3.58,0.33,1966.52,0.1868
Discount Hunter,loyalty_based,13425,1917.0,147.0,14.28,7.67,1.09,9235.44,0.6879
Casual Buyer,generic,41997,3795.0,171.0,9.04,4.51,0.41,11352.15,0.2703
Discount Hunter,sport_based,22395,3540.0,283.0,15.81,7.99,1.26,20247.4,0.9041
Casual Buyer,personalized,59145,11199.0,1115.0,18.93,9.96,1.89,77392.23,1.3085
One-Time Buyer,personalized,14685,2730.0,264.0,18.59,9.67,1.8,18130.7,1.2346
UA Rewards Member,generic,33428,3789.0,142.0,11.33,3.75,0.42,9722.71,0.2909
UA Rewards Elite,personalized,16480,3450.0,353.0,20.93,10.23,2.14,23199.61,1.4077
Performance Athlete,loyalty_based,18140,2580.0,176.0,14.22,6.82,0.97,12024.7,0.6629
Performance Athlete,sport_based,29967,4790.0,370.0,15.98,7.72,1.23,24883.13,0.8304
UA Rewards Member,personalized,46685,9895.0,1007.0,21.2,10.18,2.16,69097.79,1.4801
UA Rewards Elite,generic,11901,1336.0,56.0,11.23,4.19,0.47,3754.4,0.3155
