cohort_month,cohort_size,month_1_retention_pct,month_3_retention_pct,month_6_retention_pct,month_12_retention_pct,month_1_retained_customers,month_3_retained_customers,month_6_retained_customers,month_12_retained_customers
2021-01-01,27860,17.01,17.83,18.83,18.88,4738,4967,5246,5261
2021-02-01,20483,17.73,18.41,17.71,16.13,3632,3771,3627,3303
2021-03-01,18931,17.19,17.02,17.28,16.88,3254,3222,3271,3195
2021-04-01,15114,16.65,16.83,16.76,16.1,2517,2544,2533,2433
2021-05-01,13128,15.9,16.25,15.53,16.12,2088,2133,2039,2116
2021-06-01,10767,15.3,14.67,15.53,14.91,1647,1580,1672,1605
2021-07-01,9263,14.78,14.62,14.8,14.89,1369,1354,1371,1379
2021-08-01,7881,14.02,13.42,12.66,14.55,1105,1058,998,1147
2021-09-01,6572,13.88,13.88,13.59,12.78,912,912,893,840
2021-10-01,6000,11.97,12.58,12.82,12.55,718,755,769,753
2021-11-01,4852,12.22,11.13,11.93,11.95,593,540,579,580
2021-12-01,4641,11.98,11.55,11.25,11.57,556,536,522,537
2022-01-01,4068,9.71,10.52,11.85,10.42,395,428,482,424
2022-02-01,3243,11.41,10.33,11.07,9.53,370,335,359,309
2022-03-01,3200,9.72,9.34,10.09,10.34,311,299,323,331
2022-04-01,2791,10.75,9.78,10.28,8.74,300,273,287,244
2022-05-01,2684,9.28,9.28,10.21,8.94,249,249,274,240
2022-06-01,2366,9.0,7.95,8.28,9.13,213,188,196,216
2022-07-01,2257,8.68,8.86,9.04,8.55,196,200,204,193
2022-08-01,1999,8.8,8.7,6.8,8.7,176,174,136,174
2022-09-01,1766,7.93,8.89,8.15,8.27,140,157,144,146
2022-10-01,1695,7.96,8.02,6.73,8.02,135,136,114,136
2022-11-01,1480,7.03,6.82,6.62,7.84,104,101,98,116
2022-12-01,1414,6.86,6.72,6.51,7.57,97,95,92,107
2023-01-01,1391,7.12,7.12,8.48,7.33,99,99,118,102
2023-02-01,1113,6.56,6.65,8.54,5.48,73,74,95,61
2023-03-01,1152,7.29,6.08,6.16,7.38,84,70,71,85
2023-04-01,1054,7.4,4.84,7.5,4.93,78,51,79,52
2023-05-01,991,6.76,5.95,7.06,6.96,67,59,70,69
2023-06-01,883,6.57,5.21,6.57,6.91,58,46,58,61
2023-07-01,860,6.4,5.35,7.33,5.47,55,46,63,47
2023-08-01,814,6.27,7.25,5.28,6.51,51,59,43,53
2023-09-01,714,6.3,7.28,6.72,7.0,45,52,48,50
2023-10-01,736,6.11,4.89,4.35,6.39,45,36,32,47
2023-11-01,678,5.75,6.49,4.57,7.67,39,44,31,52
2023-12-01,636,5.66,4.56,5.82,5.35,36,29,37,34
2024-01-01,592,4.56,6.93,7.43,6.25,27,41,44,37
2024-02-01,525,7.43,6.1,3.62,5.71,39,32,19,30
2024-03-01,489,4.7,4.09,5.73,5.11,23,20,28,25
2024-04-01,504,6.35,7.54,4.96,4.17,32,38,25,21
2024-05-01,475,7.37,4.84,4.21,5.68,35,23,20,27
2024-06-01,442,6.33,4.75,4.98,7.24,28,21,22,32
2024-07-01,451,5.76,5.1,6.43,5.1,26,23,29,23
2024-08-01,429,3.03,4.66,3.73,5.13,13,20,16,22
2024-09-01,363,4.68,5.51,5.51,3.03,17,20,20,11
2024-10-01,301,2.99,4.98,3.99,4.65,9,15,12,14
2024-11-01,370,5.14,3.24,4.32,6.49,19,12,16,24
2024-12-01,334,6.29,4.49,6.29,5.99,21,15,21,20
2025-01-01,309,0.97,3.88,4.21,4.53,3,12,13,14
2025-02-01,251,4.38,6.77,3.59,1.59,11,17,9,4
2025-03-01,245,2.04,6.12,2.45,,5,15,6,
2025-04-01,286,5.94,5.24,6.29,,17,15,18,
2025-05-01,236,2.54,7.2,2.97,,6,17,7,
2025-06-01,213,3.29,5.16,7.51,,7,11,16,
2025-07-01,232,4.74,4.74,3.88,,11,11,9,
2025-08-01,229,3.49,4.37,5.24,,8,10,12,
2025-09-01,191,5.24,8.38,,,10,16,,
2025-10-01,187,1.07,3.74,,,2,7,,
2025-11-01,194,4.12,4.12,,,8,8,,
2025-12-01,175,6.29,,,,11,,,
2026-01-01,205,3.9,,,,8,,,
2026-02-01,149,,,,,,,,
