experiment_id,experiment_name,experiment_goal,control_users,treatment_users,control_conversions,treatment_conversions,control_conversion_rate_pct,treatment_conversion_rate_pct,conversion_lift_pp,conversion_uplift_pct,z_score,significance_result,recommendation
EXP006,UA Rewards Early Access Personalization,increase_loyalty_member_retention,16672,16661,842.0,1865.0,5.05,11.19,6.14,121.64,20.53,Statistically Significant,Roll Out Treatment
EXP008,Discount Banner Personalization Test,reduce_discount_hunter_churn,16833,16500,803.0,1584.0,4.77,9.6,4.83,101.24,17.1,Statistically Significant,Roll Out Treatment
EXP012,Loyalty Tier Upgrade Nudge Test,increase_loyalty_upgrade_rate,16686,16647,804.0,1606.0,4.82,9.65,4.83,100.22,17.02,Statistically Significant,Roll Out Treatment
EXP003,Sport-Based Recommendation Engine v1,increase_recommendation_ctr,16551,16782,849.0,1638.0,5.13,9.76,4.63,90.28,16.09,Statistically Significant,Roll Out Treatment
EXP009,Holiday Season Recommendation Engine v2,increase_holiday_revenue,16474,16859,816.0,1591.0,4.95,9.44,4.48,90.52,15.81,Statistically Significant,Roll Out Treatment
EXP004,New Homepage Layout vs Old Layout,improve_homepage_conversion,16631,16702,877.0,1564.0,5.27,9.36,4.09,77.58,14.33,Statistically Significant,Roll Out Treatment
EXP011,App vs Web Conversion Optimization,increase_app_conversion_rate,16668,16665,849.0,1472.0,5.09,8.83,3.74,73.41,13.41,Statistically Significant,Roll Out Treatment
EXP007,Project Rock Collection Targeted Push,increase_recommendation_revenue,16653,16680,786.0,1390.0,4.72,8.33,3.61,76.56,13.35,Statistically Significant,Roll Out Treatment
EXP001,Personalized vs Generic Homepage Recommendations,increase_recommendation_ctr,16577,16755,847.0,1383.0,5.11,8.25,3.14,61.55,11.49,Statistically Significant,Roll Out Treatment
EXP010,Sport Affinity Email Personalization,improve_email_click_through_rate,16638,16695,812.0,1287.0,4.88,7.71,2.83,57.96,10.63,Statistically Significant,Roll Out Treatment
EXP005,Search Ranking Algorithm A vs B,improve_search_conversion,16465,16868,838.0,1278.0,5.09,7.58,2.49,48.86,9.31,Statistically Significant,Roll Out Treatment
EXP002,UA Rewards Loyalty Banner Test,increase_loyalty_member_conversion,16614,16719,800.0,1200.0,4.82,7.18,2.36,49.06,9.08,Statistically Significant,Roll Out Treatment
